No,Pengguna,Waktu,Ulasan,Label
0,DAS,2021-12-03 0:04:06,Manajih kaga ke download dongload loading terus,Negatif
1,SJ,2021-12-03 0:05:40,Sertifikat vaksin tidak muncul.. sama tolong buatin edit tanggal lahir .. susah,Negatif
2,UN,2021-12-03 0:06:15,sertifikat vaksin keluar tp status masih merah. yang bikin aplikasi anak magang keknya,Negatif
3,LH,2021-12-03 0:16:00,Kenapa kok nggak bisa di buka,Negatif
4,US,2021-12-03 0:17:38,untuk download sertifikat selalu ada kendala.,Negatif
5,AO,2021-12-03 0:19:54,Ok,Positif
6,SS,2021-12-03 0:22:47,good job,Positif
7,MJM,2021-12-03 0:34:47,Sangat bagus,Positif
8,A,2021-12-03 0:34:55,Masa ada keterangan terlalu banyak percobaan.. yang bkin aplikasi gak ngerti ya.. kita kan mau coba terus karena kadang lupa tanggal tepatnya divaksin.. kecewa,Negatif
9,KRM,2021-12-03 0:35:27,"To Admin dan Team! Bahasanya dibenerin. Jangan campur aduk begini. Awal pake bahasa Indonesia, waktu input jadi bahasa lain.. diawal masuk, kasih pilihan aja, ENG ato ID.. sesuaiin sama dalamnya.. terimakasih..",Negatif
10,P,2021-12-03 0:38:30,ok,Positif
11,RL,2021-12-03 0:39:08,"Alhamdulillah, aplikasi sudah dapat dipakai lagi. Makasih admin atas bantuannya.",Positif
12,AS,2021-12-03 0:39:39,Pilih tanggal lahirnya ribet mencet nya ampe gempor... Mana sering error ngulang dari awal...,Negatif
13,ET,2021-12-03 0:44:21,"Gua vaksin kedua mau minta input data, berhubung ngantri saya diarahkan sama TNI untuk absen atau apalah itu supaya ga lama antri, setelah itu saya disuruh minta input data sesuai arahan pak TNI, tapi sama nakes nya malah diomel2in. Katanya ngantri dulu baru ke tempat TNI untuk absen, lah. Ora ramah pisan. Vaksin kedua sertifikat tidak keluar. Bodo amat lah. Pelayanan kemasyarakat parah. Lokasi vaksin di alam sutra",Negatif
14,AB,2021-12-03 0:46:48,"Aplikasi sangat tidak layak pakai sering eror,Cobalah di perbaiki, cari ahli it yang bener2 ahli",Negatif
